medium,rank,name,email,n,chatbot,chatbotMismatch,eligible,activitiesPerfect,chaptersComplete,totalAttempts,completionTime
Mobile,,"Murid 16",murid16@eduloca.tech,16,Yes,,no,0/3,0/7,0,""
Mobile,,"Murid 17",murid17@eduloca.tech,17,Yes,,no,0/3,0/7,0,""
Mobile,,"Murid 18",murid18@eduloca.tech,18,Yes,,no,0/3,0/7,0,""
Mobile,,"Murid 19",murid19@eduloca.tech,19,Yes,,no,0/3,0/7,0,""
Mobile,,"Murid 20",murid20@eduloca.tech,20,Yes,,no,0/3,0/7,0,""
Mobile,,"Murid 21",murid21@eduloca.tech,21,Yes,,no,0/3,0/7,0,""
Mobile,,"Murid 22",murid22@eduloca.tech,22,Yes,,no,0/3,0/7,0,""
Mobile,,"Murid 23",murid23@eduloca.tech,23,Yes,,no,0/3,0/7,0,""
Mobile,,"Murid 24",murid24@eduloca.tech,24,Yes,,no,0/3,0/7,0,""
Mobile,,"Murid 25",murid25@eduloca.tech,25,Yes,,no,0/3,0/7,0,""
Mobile,,"Murid 26",murid26@eduloca.tech,26,Yes,,no,0/3,0/7,0,""
Mobile,,"Murid 27",murid27@eduloca.tech,27,Yes,,no,0/3,0/7,0,""
Mobile,,"Murid 28",murid28@eduloca.tech,28,Yes,,no,0/3,0/7,0,""
Mobile,,"Murid 29",murid29@eduloca.tech,29,Yes,,no,0/3,0/7,0,""
Mobile,,"Murid 30",murid30@eduloca.tech,30,Yes,,no,0/3,0/7,0,""
Mobile,,"Murid 46",murid46@eduloca.tech,46,No,,no,0/3,0/7,0,""
Mobile,,"Murid 47",murid47@eduloca.tech,47,No,,no,0/3,0/7,0,""
Mobile,,"Murid 48",murid48@eduloca.tech,48,No,,no,0/3,0/7,0,""
Mobile,,"Murid 49",murid49@eduloca.tech,49,No,,no,0/3,0/7,0,""
Mobile,,"Murid 50",murid50@eduloca.tech,50,No,,no,0/3,0/7,0,""
Mobile,,"Murid 51",murid51@eduloca.tech,51,No,,no,0/3,0/7,0,""
Mobile,,"Murid 52",murid52@eduloca.tech,52,No,,no,0/3,0/7,0,""
Mobile,,"Murid 53",murid53@eduloca.tech,53,No,,no,0/3,0/7,0,""
Mobile,,"Murid 54",murid54@eduloca.tech,54,No,,no,0/3,0/7,0,""
Mobile,,"Murid 55",murid55@eduloca.tech,55,No,,no,0/3,0/7,0,""
Mobile,,"Murid 56",murid56@eduloca.tech,56,No,,no,0/3,0/7,0,""
Mobile,,"Murid 57",murid57@eduloca.tech,57,No,,no,0/3,0/7,0,""
Mobile,,"Murid 58",murid58@eduloca.tech,58,No,,no,0/3,0/7,0,""
Mobile,,"Murid 59",murid59@eduloca.tech,59,No,,no,0/3,0/7,0,""
Mobile,,"Murid 60",murid60@eduloca.tech,60,No,,no,0/3,0/7,0,""
Web,,"Murid 1",murid1@eduloca.tech,1,Yes,,no,0/3,0/7,0,""
Web,,"Murid 2",murid2@eduloca.tech,2,Yes,,no,0/3,0/7,0,""
Web,,"Murid 3",murid3@eduloca.tech,3,Yes,,no,0/3,0/7,0,""
Web,,"Murid 4",murid4@eduloca.tech,4,Yes,,no,0/3,0/7,0,""
Web,,"Murid 5",murid5@eduloca.tech,5,Yes,,no,0/3,0/7,0,""
Web,,"Murid 6",murid6@eduloca.tech,6,Yes,,no,0/3,0/7,0,""
Web,,"Murid 7",murid7@eduloca.tech,7,Yes,,no,0/3,0/7,0,""
Web,,"Murid 8",murid8@eduloca.tech,8,Yes,,no,0/3,0/7,0,""
Web,,"Murid 9",murid9@eduloca.tech,9,Yes,,no,0/3,0/7,0,""
Web,,"Murid 10",murid10@eduloca.tech,10,Yes,,no,0/3,0/7,0,""
Web,,"Murid 11",murid11@eduloca.tech,11,Yes,,no,0/3,0/7,0,""
Web,,"Murid 12",murid12@eduloca.tech,12,Yes,,no,0/3,0/7,0,""
Web,,"Murid 13",murid13@eduloca.tech,13,Yes,,no,0/3,0/7,0,""
Web,,"Murid 14",murid14@eduloca.tech,14,Yes,,no,0/3,0/7,0,""
Web,,"Murid 15",murid15@eduloca.tech,15,Yes,,no,0/3,0/7,0,""
Web,,"Murid 31",murid31@eduloca.tech,31,No,,no,0/3,0/7,0,""
Web,,"Murid 32",murid32@eduloca.tech,32,No,,no,0/3,0/7,0,""
Web,,"Murid 33",murid33@eduloca.tech,33,No,,no,0/3,0/7,0,""
Web,,"Murid 34",murid34@eduloca.tech,34,No,,no,0/3,0/7,0,""
Web,,"Murid 35",murid35@eduloca.tech,35,No,,no,0/3,0/7,0,""
Web,,"Murid 36",murid36@eduloca.tech,36,No,,no,0/3,0/7,0,""
Web,,"Murid 37",murid37@eduloca.tech,37,No,,no,0/3,0/7,0,""
Web,,"Murid 38",murid38@eduloca.tech,38,No,,no,0/3,0/7,0,""
Web,,"Murid 39",murid39@eduloca.tech,39,No,,no,0/3,0/7,0,""
Web,,"Murid 40",murid40@eduloca.tech,40,No,,no,0/3,0/7,0,""
Web,,"Murid 41",murid41@eduloca.tech,41,No,,no,0/3,0/7,0,""
Web,,"Murid 42",murid42@eduloca.tech,42,No,,no,0/3,0/7,0,""
Web,,"Murid 43",murid43@eduloca.tech,43,No,,no,0/3,0/7,0,""
Web,,"Murid 44",murid44@eduloca.tech,44,No,,no,0/3,0/7,0,""
Web,,"Murid 45",murid45@eduloca.tech,45,No,,no,0/3,0/7,0,""
